timestamp, index, name, memory.total [MiB], memory.used [MiB]
2026/03/19 15:55:23.361, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:24.365, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:25.370, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:26.370, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:27.374, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:28.374, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:29.381, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:30.381, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:31.449, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:32.452, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:33.452, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:34.455, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:35.455, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:36.461, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:37.461, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:38.463, 1, NVIDIA RTX A6000, 49140 MiB, 34032 MiB
2026/03/19 15:55:39.464, 1, NVIDIA RTX A6000, 49140 MiB, 34060 MiB
2026/03/19 15:55:40.464, 1, NVIDIA RTX A6000, 49140 MiB, 34060 MiB
2026/03/19 15:55:41.464, 1, NVIDIA RTX A6000, 49140 MiB, 34266 MiB
2026/03/19 15:55:42.464, 1, NVIDIA RTX A6000, 49140 MiB, 39572 MiB
2026/03/19 15:55:43.465, 1, NVIDIA RTX A6000, 49140 MiB, 39572 MiB
2026/03/19 15:55:44.465, 1, NVIDIA RTX A6000, 49140 MiB, 39668 MiB
2026/03/19 15:55:45.465, 1, NVIDIA RTX A6000, 49140 MiB, 39931 MiB
2026/03/19 15:55:46.465, 1, NVIDIA RTX A6000, 49140 MiB, 39931 MiB
2026/03/19 15:55:47.466, 1, NVIDIA RTX A6000, 49140 MiB, 21039 MiB
2026/03/19 15:55:48.466, 1, NVIDIA RTX A6000, 49140 MiB, 2413 MiB
2026/03/19 15:55:49.466, 1, NVIDIA RTX A6000, 49140 MiB, 2413 MiB
2026/03/19 15:55:50.466, 1, NVIDIA RTX A6000, 49140 MiB, 2413 MiB
2026/03/19 15:55:51.467, 1, NVIDIA RTX A6000, 49140 MiB, 2413 MiB
2026/03/19 15:55:52.467, 1, NVIDIA RTX A6000, 49140 MiB, 2413 MiB
2026/03/19 15:55:53.467, 1, NVIDIA RTX A6000, 49140 MiB, 1798 MiB
2026/03/19 15:55:54.468, 1, NVIDIA RTX A6000, 49140 MiB, 1798 MiB
2026/03/19 15:55:55.468, 1, NVIDIA RTX A6000, 49140 MiB, 1798 MiB
