timestamp, index, name, memory.total [MiB], memory.used [MiB]
2026/03/19 16:52:02.555, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:03.555, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:04.555, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:05.556, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:06.556, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:07.556, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:08.556, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:09.557, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:10.557, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:11.557, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:12.558, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:13.558, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:14.558, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:15.559, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:16.559, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:17.559, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:18.559, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:19.560, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:20.560, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:21.560, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:22.561, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:23.561, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:24.561, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:25.562, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:26.562, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:27.562, 1, NVIDIA RTX A6000, 49140 MiB, 5 MiB
2026/03/19 16:52:28.563, 1, NVIDIA RTX A6000, 49140 MiB, 716 MiB
2026/03/19 16:52:29.563, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:30.566, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:31.566, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:32.566, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:33.567, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:34.567, 1, NVIDIA RTX A6000, 49140 MiB, 27522 MiB
2026/03/19 16:52:35.568, 1, NVIDIA RTX A6000, 49140 MiB, 27550 MiB
2026/03/19 16:52:36.568, 1, NVIDIA RTX A6000, 49140 MiB, 27586 MiB
2026/03/19 16:52:37.569, 1, NVIDIA RTX A6000, 49140 MiB, 4880 MiB
2026/03/19 16:52:38.569, 1, NVIDIA RTX A6000, 49140 MiB, 1072 MiB
2026/03/19 16:52:39.569, 1, NVIDIA RTX A6000, 49140 MiB, 1072 MiB
2026/03/19 16:52:40.570, 1, NVIDIA RTX A6000, 49140 MiB, 28308 MiB
2026/03/19 16:52:41.570, 1, NVIDIA RTX A6000, 49140 MiB, 28308 MiB
2026/03/19 16:52:42.570, 1, NVIDIA RTX A6000, 49140 MiB, 28308 MiB
2026/03/19 16:52:43.570, 1, NVIDIA RTX A6000, 49140 MiB, 28308 MiB
2026/03/19 16:52:44.571, 1, NVIDIA RTX A6000, 49140 MiB, 29108 MiB
2026/03/19 16:52:45.571, 1, NVIDIA RTX A6000, 49140 MiB, 268 MiB
2026/03/19 16:52:46.572, 1, NVIDIA RTX A6000, 49140 MiB, 268 MiB
2026/03/19 16:52:47.572, 1, NVIDIA RTX A6000, 49140 MiB, 268 MiB
2026/03/19 16:52:48.572, 1, NVIDIA RTX A6000, 49140 MiB, 268 MiB
2026/03/19 16:52:49.573, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:50.573, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:51.573, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:52.573, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:53.574, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 16:52:54.574, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
